* Tag der Arbeit *|01.05.2016|00:00|01.05.2016|23:59|1
* Himmelfahrt *|05.05.2016|00:00|05.05.2016|23:59|1
* Pfingstsonntag *|15.05.2016|00:00|15.05.2016|23:59|1
* Pfingstmontag *|16.05.2016|00:00|16.05.2016|23:59|1
* Tag der Deutschen Einheit *|03.10.2016|00:00|03.10.2016|23:59|1
* Heiligabend *|24.12.2016|00:00|24.12.2016|23:59|1
* Erster Weihnachtstag *|25.12.2016|00:00|25.12.2016|23:59|1
* Zweiter Weihnachtstag *|26.12.2016|00:00|26.12.2016|23:59|1
* Sylvester *|31.12.2016|00:00|31.12.2016|23:59|1
* Neujahr *|01.01.2017|00:00|01.01.2017|23:59|1
* Heilige Drei Könige *|06.01.2017|00:00|06.01.2017|23:59|1
* Karfreitag *|14.04.2017|00:00|14.04.2017|23:59|1
* Ostersonntag *|16.04.2017|00:00|16.04.2017|23:59|1
* Ostermontag *|17.04.2017|00:00|17.04.2017|23:59|1
* Tag der Arbeit *|01.05.2017|00:00|01.05.2017|23:59|1
* Himmelfahrt *|25.05.2017|00:00|25.05.2017|23:59|1
* Pfingstsonntag *|04.06.2017|00:00|04.06.2017|23:59|1
* Pfingstmontag *|05.06.2017|00:00|05.06.2017|23:59|1
* Tag der Deutschen Einheit *|03.10.2017|00:00|03.10.2017|23:59|1
* Heiligabend *|24.12.2017|00:00|24.12.2017|23:59|1
* Erster Weihnachtstag *|25.12.2017|00:00|25.12.2017|23:59|1
* Zweiter Weihnachtstag *|26.12.2017|00:00|26.12.2017|23:59|1
* Sylvester *|31.12.2017|00:00|31.12.2017|23:59|1
* Neujahr *|01.01.2018|00:00|01.01.2018|23:59|1
* Heilige Drei Könige *|06.01.2018|00:00|06.01.2018|23:59|1
* Karfreitag *|30.03.2018|00:00|30.03.2018|23:59|1
* Ostersonntag *|01.04.2018|00:00|01.04.2018|23:59|1
* Ostermontag *|02.04.2018|00:00|02.04.2018|23:59|1
* Tag der Arbeit *|01.05.2018|00:00|01.05.2018|23:59|1
* Himmelfahrt *|10.05.2018|00:00|10.05.2018|23:59|1
* Pfingstsonntag *|20.05.2018|00:00|20.05.2018|23:59|1
* Pfingstmontag *|21.05.2018|00:00|21.05.2018|23:59|1
* Tag der Deutschen Einheit *|03.10.2018|00:00|03.10.2018|23:59|1
* Heiligabend *|24.12.2018|00:00|24.12.2018|23:59|1
* Erster Weihnachtstag *|25.12.2018|00:00|25.12.2018|23:59|1
* Zweiter Weihnachtstag *|26.12.2018|00:00|26.12.2018|23:59|1
* Sylvester *|31.12.2018|00:00|31.12.2018|23:59|1
* Neujahr *|01.01.2019|00:00|01.01.2019|23:59|1
* Heilige Drei Könige *|06.01.2019|00:00|06.01.2019|23:59|1
* Karfreitag *|19.04.2019|00:00|19.04.2019|23:59|1
* Ostersonntag *|21.04.2019|00:00|21.04.2019|23:59|1
* Ostermontag *|22.04.2019|00:00|22.04.2019|23:59|1
* Tag der Arbeit *|01.05.2019|00:00|01.05.2019|23:59|1
* Himmelfahrt *|30.05.2019|00:00|30.05.2019|23:59|1
* Pfingstsonntag *|09.06.2019|00:00|09.06.2019|23:59|1
* Pfingstmontag *|10.06.2019|00:00|10.06.2019|23:59|1
* Tag der Deutschen Einheit *|03.10.2019|00:00|03.10.2019|23:59|1
* Heiligabend *|24.12.2019|00:00|24.12.2019|23:59|1
* Erster Weihnachtstag *|25.12.2019|00:00|25.12.2019|23:59|1
* Zweiter Weihnachtstag *|26.12.2019|00:00|26.12.2019|23:59|1
* Sylvester *|31.12.2019|00:00|31.12.2019|23:59|1
